"","idno","stfdem","cntry","SatEcon","incpart","Female","AgeResp","Unemp","Religiosity","SocTrust","LRSP","IncDec","YearsEdu","Crtsame","fairelcc","cttresa","fairelc","gvexpdc","Poverty","Inequality"
"16264",1678,7,"XK",5,0,2,38,0,7,5.33333333333333,5,3,12,5,5,9,8,8,5.65685424949238,0
"16265",1392,7,"XK",5,0,1,24,0,6,3.33333333333333,5,1,12,9,3,10,10,10,5.65685424949238,4.94974746830583
"16266",1085,4,"XK",2,0,1,35,0,6,8.66666666666667,9,4,12,2,2,10,10,9,5.65685424949238,4.94974746830583
"16267",1983,0,"XK",0,0,1,63,0,7,2.33333333333333,9,6,20,0,0,10,10,10,7.07106781186548,7.07106781186548
"16268",1275,2,"XK",2,1,1,31,0,8,4.66666666666667,8,4,12,2,2,10,10,10,5.65685424949238,5.65685424949238
"16269",1957,0,"XK",8,0,1,61,0,10,5.66666666666667,7,3,16,0,0,10,10,10,7.07106781186548,7.07106781186548
"16270",359,4,"XK",6,0,2,69,0,10,3.66666666666667,10,2,4,10,6,9,9,10,4.94974746830583,0.707106781186548
"16271",2127,0,"XK",1,0,2,65,0,10,5,5,2,10,0,0,10,10,10,7.07106781186548,7.07106781186548
"16272",351,1,"XK",5,0,1,39,0,2,7,10,2,12,4,5,10,10,10,6.36396103067893,6.36396103067893
"16273",1101,2,"XK",0,0,1,58,1,10,1.66666666666667,10,5,2,3,2,10,10,10,5.65685424949238,5.65685424949238
"16274",1399,5,"XK",4,0,1,85,0,6,3,5,2,12,0,2,10,10,10,6.36396103067893,6.36396103067893
"16275",1303,2,"XK",5,0,1,18,0,10,4.66666666666667,3,10,9,4,4,8,3,9,2.12132034355964,2.82842712474619
"16276",1793,0,"XK",0,0,2,50,0,9,3.66666666666667,5,5,15,2,5,10,10,10,5.65685424949238,7.07106781186548
"16277",714,4,"XK",5,0,2,37,0,5,6.66666666666667,10,4,12,2,4,10,10,10,7.07106781186548,4.24264068711928
"16278",573,5,"XK",0,0,2,48,0,10,1.66666666666667,5,5,11,4,5,10,10,10,5.65685424949238,7.07106781186548
"16279",418,2,"XK",0,1,1,64,0,2,2.33333333333333,9,4,12,0,0,10,10,10,7.07106781186548,7.07106781186548
"16280",1190,1,"XK",4,0,1,52,0,7,2.33333333333333,8,3,12,3,1,9,10,8,3.53553390593274,2.82842712474619
"16281",1068,2,"XK",1,0,1,20,1,2,3.66666666666667,3,2,13,6,7,10,9,9,5.65685424949238,5.65685424949238
"16282",2218,0,"XK",0,0,2,31,1,5,3,0,4,11,0,0,10,0,5,7.07106781186548,6.36396103067893
"16283",660,0,"XK",0,0,1,57,1,7,6.33333333333333,10,4,12,0,3,10,10,10,6.36396103067893,5.65685424949238
"16284",1732,2,"XK",2,0,2,44,1,10,1.33333333333333,6,2,8,3,4,7,6,5,2.12132034355964,0.707106781186548
"16285",1667,5,"XK",3,0,1,61,0,9,5,5,4,16,5,5,10,8,7,4.94974746830583,0
"16286",1460,5,"XK",8,0,1,43,0,10,5.66666666666667,6,4,12,4,7,6,7,6,0,0
"16287",1177,3,"XK",3,0,1,41,0,6,4.33333333333333,8,4,12,0,2,10,10,9,6.36396103067893,4.24264068711928
"16288",2260,9,"XK",9,0,1,61,1,6,8.5,9,5,11,4,5,5,6,4,0,0
"16289",411,0,"XK",0,0,1,45,1,2,3.66666666666667,6,4,12,0,0,10,10,10,7.07106781186548,7.07106781186548
"16290",1005,5,"XK",0,0,1,19,0,9,6.33333333333333,10,3,9,3,2,10,10,10,7.07106781186548,7.07106781186548
"16291",1284,4,"XK",2,0,2,50,0,8,3.66666666666667,8,4,8,5,2,10,5,9,2.82842712474619,3.53553390593274
"16292",1397,6,"XK",4,0,1,25,1,5,4.33333333333333,4,2,12,0,2,10,10,10,5.65685424949238,4.94974746830583
"16293",1097,4,"XK",1,0,2,23,1,8,10,5,4,13,7,6,4,6,10,2.12132034355964,1.4142135623731
"16294",55,4,"XK",2,0,1,61,0,5,5.33333333333333,4,2,8,3,7,10,9,9,2.82842712474619,2.82842712474619
"16295",338,6,"XK",5,1,2,47,0,10,4.66666666666667,10,2,8,10,9,10,10,5,0,2.12132034355964
"16296",940,3,"XK",5,1,2,58,1,6,2.33333333333333,5,5,12,0,1,10,10,10,6.36396103067893,6.36396103067893
"16297",259,5,"XK",5,1,2,43,0,8,5,8,4,8,2,0,10,10,10,6.36396103067893,7.07106781186548
"16298",1810,1,"XK",0,0,1,61,0,8,2,9,4,12,2,1,10,0,10,7.07106781186548,7.07106781186548
"16299",1014,8,"XK",3,1,2,61,0,10,0,5,3,8,5,1,10,10,10,6.36396103067893,6.36396103067893
"16300",811,5,"XK",5,1,1,47,0,6,2.66666666666667,8,5,12,5,4,7,6,6,1.4142135623731,0.707106781186548
"16301",1254,3,"XK",3,1,1,20,0,10,6.33333333333333,8,2,12,1,0,10,10,10,6.36396103067893,5.65685424949238
"16302",2216,2,"XK",0,0,1,47,0,10,2.33333333333333,0,6,16,5,3,10,3,10,3.53553390593274,4.24264068711928
"16303",2129,1,"XK",2,0,1,53,0,8,0,5,3,16,0,0,10,10,10,7.07106781186548,7.07106781186548
"16304",2178,4,"XK",0,0,2,42,1,7,3.33333333333333,5,1,8,0,1,5,2,3,0.707106781186548,1.4142135623731
"16305",1628,8,"XK",8,1,2,48,0,4,2,7,2,4,10,10,10,10,10,0.707106781186548,0
"16306",923,4,"XK",2,1,1,16,0,9,3.33333333333333,10,6,9,5,3,10,10,10,7.07106781186548,7.07106781186548
"16307",1455,0,"XK",5,0,2,24,0,10,6.33333333333333,5,5,12,10,2,8,5,9,0,0.707106781186548
"16308",11,2,"XK",0,0,2,54,0,4,0.666666666666667,10,3,12,1,2,10,9,8,6.36396103067893,4.24264068711928
"16309",1203,5,"XK",3,0,1,31,0,7,4.66666666666667,7,4,12,5,4,10,10,7,2.12132034355964,2.82842712474619
"16310",1463,0,"XK",0,0,1,52,1,10,3,5,1,12,5,4,10,10,10,4.94974746830583,5.65685424949238
"16311",1822,0,"XK",0,0,1,49,1,8,3.66666666666667,3,2,12,0,0,10,10,10,7.07106781186548,7.07106781186548
"16312",1724,6,"XK",4,0,1,43,0,5,3,5,2,12,5,1,9,8,7,4.24264068711928,1.4142135623731
"16313",1087,8,"XK",9,0,2,30,0,7,1,9,5,8,2,3,10,10,10,4.94974746830583,4.24264068711928
"16314",819,5,"XK",2,1,1,29,0,5,4.66666666666667,1,3,12,5,5,10,10,8,4.94974746830583,3.53553390593274
"16315",1167,2,"XK",0,0,1,61,0,5,1,0,4,15,0,0,10,10,10,7.07106781186548,6.36396103067893
"16316",396,1,"XK",2,0,1,59,0,8,2.66666666666667,4,2,8,4,7,8,6,8,5.65685424949238,4.24264068711928
